system:index,Burned_Area,CO,DW_bare,DW_built,DW_crops,DW_flooded,DW_grass,DW_shrub,DW_trees,DW_water,LST_C,NBR,NDMI,NDVI,NO2,S1_VH,S1_VV,S1_VV_VH,S2_B11,S2_B12,S2_B4,S2_B8,SO2,T21,confidence,day,fire_date,fire_label,latitude,longitude,month,sample_type,source,.geo,S2_B4_refl,S2_B8_refl,S2_B11_refl,S2_B12_refl,DW_water_norm,DW_trees_norm,DW_grass_norm,DW_flooded_norm,DW_crops_norm,DW_shrub_norm,DW_built_norm,DW_bare_norm,DW_dominant_class,DW_dominant_prob,atmospheric_SO2_NO2_ratio,dist_to_industrial_km,nearest_facility_name,nearest_facility_category,is_industrial_zone,industrial_density_5km,industrial_density_15km,industrial_density_30km,industrial_proximity_score,month_sin,month_cos,day_sin,day_cos,spatial_cluster_id,recurrence_count_1km,active_months_count,persistence_score,is_recurrent_hotspot,vegetation_stress_index,fuel_dryness_indicator,thermal_vegetation_ratio,built_industrial_interaction,radar_biomass_proxy,industrial_gas_emission_score
2_638_0,0,0.0367925220325667,0.0932004101610241,0.1137640084220597,0.2174063338942897,0.0647989322180644,0.0811089583439752,0.1301208087019264,0.0807627217817263,0.0826899692631111,30.062517350000007,0.20094797,0.050962552,0.31560653,1.98511836256632e-05,-17.114766380436762,-10.300634181868462,6.8141321985683,2364.25,1742.0,1362.0,2618.166666666667,8.344224281308646e-05,0.0,0,0,NO_FIRE,0,12.551139946703778,80.16298030771286,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1611643784055,12.553956095570314]}",0.1362,0.2618166666666667,0.236425,0.1742,0.0957223640105952,0.0934913717077123,0.093892177059809,0.0750116009541503,0.2516707699457576,0.1506285650716204,0.1316938429476337,0.1078893083027211,crops,0.2516707699457576,4.203388794671873,39.33,Oragadam Industrial Corridor,Industrial Estate,0,0,0,0,0.0196,0.0,-1.0,0.1012,-0.9949,645,1,1,0.0833,0,0.7219464735259001,0.7583302993704195,36.85909350186297,0.0025811993217736205,-116.62228066390838,0.16564272842197547
2_639_0,0,0.0342460866934321,0.0343060750876449,0.0643152300682332,0.0370005821395251,0.0269029840257846,0.0341760427949743,0.0534423660849117,0.6573195373122063,0.0316422218456864,28.23900368,0.50167596,0.21800423,0.7240593,2.196517909403721e-05,-14.356518118983152,-7.489199007381923,6.867319111601231,1941.5,1003.5,484.0,3024.0,7.915398360551353e-05,0.0,0,0,NO_FIRE,0,12.197677202317424,75.51698641693237,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.51687435950758,12.194629981922505]}",0.0484,0.3024,0.19415,0.10035,0.0336940177291407,0.6999425088389397,0.036392140775118,0.0286474706217619,0.0393998334465138,0.0569077620128537,0.0684856617446487,0.0365306048310231,trees,0.6999425088389397,3.6036120291412095,113.33,Baikampady Industrial Area Mangalore,Industrial Estate,0,0,0,0,0.0,0.0,-1.0,0.1012,-0.9949,646,1,1,0.0833,0,0.5371766517947555,0.38968729136931074,23.06996375093919,0.0,-98.59079125454235,0.17386314259015898
2_640_0,0,0.0340117835531201,0.0341615695452187,0.0425052664264343,0.0590112206829321,0.0290926808523837,0.0446122974796263,0.102684921996538,0.601415499958188,0.0328545237100834,27.68870246000006,0.47394672,0.23381414,0.67108124,2.080697238138928e-05,-12.521284491857358,-6.338061651190591,6.183222840666767,1743.428571428571,1002.0,552.6,2807.5,4.50592399707673e-05,0.0,0,0,NO_FIRE,0,11.484824148659191,78.52269907964053,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.52623056130797,11.484960907468082]}",0.05526,0.28075,0.1743428571428571,0.1002,0.0347175368439384,0.6355187176828815,0.0471420342327566,0.0307423789884856,0.0623574472223044,0.1085076622686702,0.0449155241525613,0.0360986986084018,trees,0.6355187176828815,2.165583687277365,51.59,Salem Steel Plant (SAIL),Steel / Metallurgy,0,0,0,0,0.0057,0.0,-1.0,0.1012,-0.9949,647,1,1,0.0833,0,0.4832233940420891,0.4030545847426208,23.643707638933794,0.0002560184876695994,-77.421892264539,0.09375463615981472
2_641_0,0,0.0375125942338633,0.0559209431743338,0.1535447496987347,0.1990206174862881,0.0657291153357142,0.0944453954718829,0.1140244349149898,0.0828325128670604,0.0570696806535124,30.05568131000001,0.22099775,0.04280943,0.43031648,2.588908295261225e-05,-16.543194823150195,-9.952682497427569,6.590512325722628,2364.5,1643.5,1026.0,2576.0,0.000101165937196,0.0,0,0,NO_FIRE,0,13.751325145443008,79.7525685996898,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75692250055172,13.748715423449276]}",0.1026,0.2576,0.23645,0.16435,0.0693782535596539,0.1006975159991634,0.1148150212084076,0.0799053223672149,0.2419446316406324,0.1386167938376493,0.1866607006621962,0.0679817607250821,crops,0.2419446316406324,3.907667852942643,39.54,Sri City Multi-Product SEZ,Industrial SEZ,0,0,0,0,0.0192,0.0,-1.0,0.1012,-0.9949,648,1,1,0.0833,0,0.8190340515613455,0.7456536077087825,32.306942805097904,0.0035838854527141667,-109.02812938880213,0.26190933400460054
2_642_0,0,0.0344847534023281,0.0862163450568914,0.0512315416863809,0.1000336589214081,0.0715663236177836,0.049904870482472,0.2362488554635395,0.1366844878764823,0.1094948694420357,28.416740720000007,0.06913683,-0.073874846,0.29961628,2.058535399041595e-05,-17.646789013297465,-11.224620362143574,6.422168651153891,2994.5,2248.5,1391.75,2582.5,-1.0417419013489576e-05,0.0,0,0,NO_FIRE,0,10.063504143364908,78.83790125244379,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.84064091074981,10.065622758559238]}",0.139175,0.25825,0.29945,0.22485,0.1301370908273801,0.1624525578606417,0.0593130499702923,0.08505816943103,0.1188922314185867,0.2807870260770425,0.0608898282416483,0.1024700461733782,shrub,0.2807870260770425,0.004857822704752,81.62,BHEL Heavy Electricals Tiruchirappalli,Heavy Engineering,0,0,0,0,0.0003,0.0,-1.0,0.1012,-0.9949,649,1,1,0.0833,0,1.6545011913887664,0.9996305433308218,35.537971688120216,1.8266948472494488e-05,-113.33065519472588,0.0
2_643_0,0,0.0348883885222303,0.0565142991495722,0.1208142340095397,0.3482469531909545,0.0360686619599121,0.0765020123217254,0.1689661265315734,0.0681391127433909,0.038409878662348,33.50959052000002,0.05835209,-0.045922406,0.33130783,2.309529494541696e-05,-18.53162612146852,-11.315293132279354,7.2163329891891586,2642.0,2144.25,1210.5,2410.0,0.0001657835422119,0.0,0,0,NO_FIRE,0,11.052379181046875,78.47416574496968,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4723316442608,11.053769571090713]}",0.12105,0.241,0.2642,0.214425,0.0420395167917216,0.0745780896505879,0.0837312624669215,0.0394770609261269,0.3811554252757452,0.1849330058029925,0.1322308790395057,0.0618547600463985,crops,0.3811554252757452,7.178238797283633,42.18,BHEL Heavy Electricals Tiruchirappalli,Heavy Engineering,0,0,0,0,0.0147,0.0,-1.0,0.1012,-0.9949,650,1,1,0.0833,0,1.321822638626987,0.9848906476320716,40.30948501952642,0.0019437939218807337,-133.73038492367283,0.38288198044798133
2_644_0,0,0.0331404657243773,0.0615526435642757,0.0513391493269327,0.1686642900723117,0.0377991686426949,0.0935953597390008,0.214434412096373,0.1788574296621267,0.0440236993070522,33.724925780000035,0.049128987,-0.10457735,0.34944612,1.989624247612036e-05,-16.578161108797673,-9.464857557342,7.113303551455672,3306.0,2429.0,1292.0,2680.0,5.478999475728539e-06,0.0,0,0,NO_FIRE,0,13.585197992179648,76.27512101275292,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.27145919816797,13.587018672307764]}",0.1292,0.268,0.3306,0.2429,0.0517763751764449,0.2103546391385926,0.1100777203392478,0.0444556901806834,0.1983664639526061,0.2521968109495892,0.060380092964268,0.0723922072985675,shrub,0.2521968109495892,0.2753786038898793,148.03,Peenya Industrial Area Bangalore,Industrial Estate,0,0,0,0,0.0,0.0,-1.0,0.1012,-0.9949,651,1,1,0.0833,0,1.854142591794814,1.0503105837313556,39.70225419359151,0.0,-117.92549229181479,0.010901150209563136
2_645_0,0,0.037284516808991,0.0553640724028809,0.0376855682479799,0.3522811814036686,0.0473741821115254,0.0830261551818694,0.152410139751737,0.1492518828235916,0.0420004312109085,32.00395271000002,0.18247598,0.017547833,0.36099333,2.964453022652329e-05,-17.645394659393332,-9.251954333965283,8.393440325428049,2169.5,1553.5,1055.0,2247.0,0.000156054179354,0.0,0,0,NO_FIRE,0,16.817749859619887,76.8406751337015,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.83739782716327,16.82095369513804]}",0.1055,0.2247,0.21695,0.15535,0.0456827528611291,0.162337306558831,0.0903053425603403,0.0515276389075941,0.3831668790941041,0.1657724586884821,0.0409895910844017,0.0602180302451176,crops,0.3831668790941041,5.2641812220181,61.8,Sedam Cement Industrial Hub Kalaburagi,Cement,0,0,0,0,0.0021,0.0,-1.0,0.1012,-0.9949,652,1,1,0.0833,0,0.9072846582746451,0.8031782450235514,37.17096473906484,8.607814127724356e-05,-148.10556709224474,0.462615283683494
2_646_0,0,0.0338907736310723,0.0387872055010951,0.3033254906008749,0.1521948171455575,0.0424611061386278,0.0524921748361995,0.0580978266206448,0.1498928207539669,0.0462424187597049,30.59060144,0.23840521,0.10130246,0.34809566,3.7435103785414544e-05,-17.108675958790286,-8.865270971281475,8.24340498750881,1863.0,1404.0,1104.0,2283.0,4.772811591467935e-05,0.0,0,0,NO_FIRE,0,8.719861118839706,78.07868320077998,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.07707291924821,8.718149832379957]}",0.1104,0.2283,0.1863,0.1404,0.0548224722586022,0.1777046968552737,0.0622318398547716,0.0503395556675102,0.1804338173619923,0.0688775927735598,0.359606044402758,0.0459839808255319,built,0.359606044402758,1.274956153140817,11.58,Tuticorin Thermal Power Station (TTPS),Thermal Power,0,0,2,2,0.3141,0.0,-1.0,0.1012,-0.9949,653,1,1,0.0833,0,0.5491626240834652,0.6844433642498166,36.06975354643367,0.11295225854690628,-141.03374472836393,0.1786706972748317
2_647_0,0,0.0360933784026325,0.0503482984332367,0.169595689130947,0.1590990578848868,0.0482846119115129,0.0539951412426307,0.0689808005653321,0.0999749663984403,0.1277450101682916,29.997574970000016,0.35062242,0.16068643,0.26653695,3.4350911995541947e-05,-19.14346537589531,-11.975123935314771,7.168341440580539,941.5,626.0,754.0,1302.0,0.0001196216273197,0.0,0,0,NO_FIRE,0,16.587370347319517,75.385546052174,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38212706688965,16.587391721266965]}",0.0754,0.1302,0.09415,0.0626,0.1641916956662464,0.1284986336101165,0.0694003921302797,0.0620606025542106,0.2044913070076685,0.0886615813667872,0.2179827121185487,0.0647130755461421,built,0.2179827121185487,3.482342108858239,161.17,Kirloskar Ferrous Industries Koppal,Steel / Metallurgy,0,0,0,0,0.0,0.0,-1.0,0.1012,-0.9949,654,1,1,0.0833,0,0.24776329478200662,0.5450314149477606,39.133892984545646,0.0,-137.22689617034905,0.410911199282253
