system:index,Burned_Area,CO,DW_bare,DW_built,DW_crops,DW_flooded,DW_grass,DW_shrub,DW_trees,DW_water,LST_C,NBR,NDMI,NDVI,NO2,S1_VH,S1_VV,S1_VV_VH,S2_B11,S2_B12,S2_B4,S2_B8,SO2,T21,confidence,day,fire_date,fire_label,latitude,longitude,month,sample_type,source,.geo,S2_B4_refl,S2_B8_refl,S2_B11_refl,S2_B12_refl,DW_water_norm,DW_trees_norm,DW_grass_norm,DW_flooded_norm,DW_crops_norm,DW_shrub_norm,DW_built_norm,DW_bare_norm,DW_dominant_class,DW_dominant_prob,atmospheric_SO2_NO2_ratio
1_2021300_48_0,0,0.0375444502717104,0.0489636307566201,0.0848174578076678,0.0944644920608221,0.0375452965080481,0.0589387911966006,0.1639895888912523,0.3477443429191821,0.0369478979003455,30.71706818000001,0.13611948,-0.042402826,0.4193126,4.261859083689204e-05,-15.002875446311029,-9.40523095482608,5.597644491484946,2360.0,1648.5,887.0,2168.0,0.00010230539070793222,314.20001220703125,54,27,2021-10-27,1,17.476486388915202,78.15031860836525,10,FIRMS_FIRE,NASA_FIRMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.14893814197778,17.47672385254529]}",0.0887,0.2168,0.236,0.16485,0.04230296713889905,0.39814491073146124,0.06748112582537241,0.042986950128638526,0.10815576881315296,0.18775753383045213,0.09711053495168331,0.056060208580340325,trees,0.39814491073146124,2.400487409343749
2_0_0,0,0.0350337332180272,0.0641753891347131,0.0373702133365441,0.3684828786160021,0.0497554552469713,0.1215451549020751,0.1389787467875673,0.0966526289703324,0.0528555431907686,34.79818406000004,0.04963467,-0.1013805,0.37491748,2.576969391420744e-05,-19.365176377902262,-11.096005069992223,8.269171307910042,2553.0,1886.0,947.0,2083.0,0.00010372414178953644,0.0,0,0,NO_FIRE,0,15.50578024631242,75.3892103556786,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39111021973085,15.50941338032354]}",0.0947,0.2083,0.2553,0.1886,0.05684516357193476,0.10394812297446321,0.13071957631477585,0.05351107606447123,0.3962965517690941,0.14946908341567428,0.04019097641597913,0.06901944947360747,crops,0.3962965517690941,4.025043608777629
2_1_0,0,0.0395224509215613,0.0713594650303054,0.0464281301095109,0.1636585677042603,0.0340616712346673,0.0831305868619971,0.3096207736626915,0.1649111583727695,0.0326152641083235,36.04234334,0.027868185,-0.12615651,0.2407612,2.4432161328572496e-05,-15.373597820829914,-9.101916357183477,6.271681463646438,3256.0,2389.5,1546.0,2526.5,9.4796861396822e-05,0.0,0,0,NO_FIRE,0,16.082498928335152,79.67754283208107,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.67607412498096,16.084335162160034]}",0.1546,0.25265,0.3256,0.23895,0.03600770810791085,0.18206422718829776,0.09177733151644821,0.03760456182148536,0.18068134955711945,0.34182566804193193,0.05125730551888235,0.07878184824792413,shrub,0.34182566804193193,3.8800030878136282
2_2_0,0,0.040277362656298,0.0570252469131866,0.0614552816985031,0.3131259975739969,0.0643067924055055,0.0626171906621983,0.1244577274801066,0.1536348022520542,0.0567231130499679,32.13896450000004,0.25436756,0.07587238,0.43107656,2.9325543329303205e-05,-15.934269956221716,-9.892555879490736,6.04171407673098,2266.5,1568.5,1049.0,2638.6666666666665,0.00015226481162469545,0.0,0,0,NO_FIRE,0,19.066083230545864,78.69966089278736,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.69691046529069,19.066741905436846]}",0.1049,0.26386666666666664,0.22665,0.15685,0.06349511096087714,0.17197678850688744,0.07009286436116945,0.07198418245713638,0.35050914683018314,0.1393163525656046,0.06879223866188396,0.06383331565625784,crops,0.35050914683018314,5.192224741239376
2_3_0,0,0.0365326207290309,0.0521835286802213,0.0481189893741559,0.2423042531258293,0.0381135286380803,0.0615157477191782,0.2545603347493202,0.1705489607993513,0.0344149688192244,34.86312644000003,0.09819893,-0.058653586,0.3536789,2.4834083769131544e-05,-16.840560846889304,-9.902407538427008,6.938153308462296,2931.5,2140.5,1244.5666666666666,2606.6666666666665,0.00011466314805919728,0.0,0,0,NO_FIRE,0,16.268604525537217,76.66401120778264,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.66671792318057,16.272981371825132]}",0.12445666666666666,0.26066666666666666,0.29315,0.21405,0.03816420878682031,0.18912892766259853,0.06821740423372527,0.042265697586034684,0.26870139429163403,0.28229267953859133,0.05336117451485928,0.0578685133857365,shrub,0.28229267953859133,4.617168449827093
2_4_0,0,0.0371465095630177,0.0373457937433462,0.04361552784394,0.0501626451975122,0.0461993926340558,0.042441941788032,0.0411202043275504,0.1952476767473854,0.3292245998697278,30.70681411999999,0.46192566,0.22247215,0.47493297,2.479139774765485e-05,-15.123450847978098,-7.965595294020211,7.157855553957887,962.1,556.75,538.5,1512.6666666666667,4.231558926116532e-05,0.0,0,0,NO_FIRE,0,12.865990558116914,75.03244397863203,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.03178410608304,12.868366445012146]}",0.05385,0.15126666666666666,0.09621,0.055675,0.41920333299275514,0.2486098453274238,0.05404153718545825,0.058825918178959026,0.06387234753068552,0.05235856225286053,0.05553587019212035,0.047552586339737336,water,0.41920333299275514,1.7068658125646898
2_5_0,0,0.0360961088574327,0.0814430478631573,0.0424959308139103,0.288641319573656,0.0300064678532162,0.0803127081325168,0.232074125706419,0.1117774238399065,0.031240295477248,35.75693867000001,0.008932487,-0.121384494,0.23991604,2.345067407977826e-05,-16.974795204998994,-10.408707268814574,6.56608793618442,3985.0,3067.0,1914.0,3122.285714285714,7.725768400849121e-05,0.0,0,0,NO_FIRE,0,16.700860088675334,78.49795639524487,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4992811027844,16.704172708202503]}",0.1914,0.3122285714285714,0.3985,0.3067,0.03478908404481112,0.12447494919217507,0.08943595156208939,0.0334150979075637,0.3214299663960054,0.2584369366706736,0.04732332028435212,0.0906946939423297,crops,0.3214299663960054,3.294476045578206
2_6_0,0,0.0337007945390762,0.1147468270667429,0.0428480601182118,0.2188034300204543,0.0299685828032947,0.1294323596327255,0.2716824242046901,0.072583147091791,0.0359551174943113,30.462425690000032,-0.0017967658,-0.11894273,0.28336754,2.0698777153170604e-05,-16.51078111615451,-9.257762054703036,7.253019061451475,3175.0,2509.0,1396.0,2500.0,4.964650154266425e-05,0.0,0,0,NO_FIRE,0,13.857652980497711,78.1519932071486,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.14893814197778,13.85651325754362]}",0.1396,0.25,0.3175,0.2509,0.039251456866031015,0.07923751793399027,0.14129862548763314,0.03271608097027391,0.23886317147889496,0.29659007390578945,0.04677633952355157,0.12526673383383558,shrub,0.29659007390578945,2.398523409150259
2_7_0,0,0.0392775522296993,0.057027131203506,0.0834598844184687,0.4173596966766605,0.0427363740640895,0.0561884969658449,0.097005483118425,0.113752494746455,0.0471573404677184,33.04303078999999,0.17892675,0.015731618,0.3888429,3.052825029773185e-05,-17.046596052683665,-9.243028235163962,7.803567817519703,2749.675,1976.25,1248.6666666666667,2837.5714285714284,0.00013489353566775578,0.0,0,0,NO_FIRE,0,18.794899486476805,78.39801843592937,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.40046642153125,18.797247320200988]}",0.12486666666666667,0.2837571428571428,0.27496750000000003,0.197625,0.05155571855470509,0.12436222114897288,0.061429213497865384,0.046722407401347636,0.4562869501232511,0.10605321115045244,0.09124421074238269,0.062346067381022614,crops,0.4562869501232511,4.418646150768029
2_8_0,0,0.0364707636311644,0.0300899880627791,0.4517057413597488,0.0432112536056795,0.0369782152508075,0.0318085359564671,0.0389544839660326,0.2439182268895415,0.0424317698796383,32.14238252000001,0.44743776,0.23128659,0.6590032,1.975746449307706e-05,-14.093385874335311,-7.025551419317654,7.06783445501766,1543.0,943.5,508.0,2471.5,-1.6065803121244075e-05,0.0,0,0,NO_FIRE,0,10.441413195118672,76.08420220935082,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.08281298850288,10.442915177889438]}",0.0508,0.24715,0.1543,0.09435,0.046166741691464654,0.2653886417321775,0.03460841881569895,0.04023314880661209,0.04701483791594274,0.04238337462909192,0.4914662372335817,0.032738599175430365,built,0.4914662372335817,0.005061378196328766
2_9_0,0,0.0320339319782172,0.0407889444516816,0.0526823741868914,0.2342128686723299,0.0339444708321631,0.0717178235354367,0.1591427588379398,0.2628739320255893,0.0379973781624964,30.06422636000002,0.16175184,-0.032083776,0.47596523,2.083722188567754e-05,-14.840154099725682,-7.767709874732706,7.072444224992976,2647.0,1791.1666666666663,881.375,2482.428571428572,2.850824614343349e-05,0.0,0,0,NO_FIRE,0,13.501592698440328,75.89735390029078,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.89416677883777,13.497187143895811]}",0.0881375,0.2482428571428572,0.2647,0.17911666666666662,0.04253308267589233,0.2942528991438897,0.08027869988089142,0.03799638433261193,0.2621705967289728,0.17813945188472396,0.05897101024367448,0.04565787510934342,trees,0.2942528991438897,1.3681404507684698
2_10_0,0,0.0376130443535699,0.0886239898520418,0.041943228803575,0.2484583076244841,0.0943657307394055,0.0992632964755305,0.1255296722649493,0.1111451278363044,0.0682835832186457,30.43166351000002,0.016967315,-0.11322224,0.26899934,3.664667615313757e-05,-17.91772240195992,-10.67629652280506,7.2414258791548605,3574.0,2752.0,1640.0,2847.0,0.00014165943197433391,0.0,0,0,NO_FIRE,0,13.405494812830886,80.26192410492976,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25997905965865,13.407355615483858]}",0.164,0.2847,0.3574,0.2752,0.07780603538783609,0.1266448147855206,0.11310600871014999,0.10752545544950708,0.2831069338223268,0.14303534849944896,0.04779240032148664,0.10098300302372375,crops,0.2831069338223268,3.865546533671253
